"","State","Race","Value"
"1","United States","W","0.592"
"2","United States","B","0.124"
"3","United States","H","0.191"
"4","United States","A","0.061"
"5","United States","N","0.008"
"6","United States","O","0.029"
"7","Alabama","W","0.649"
"8","Alabama","B","0.263"
"9","Alabama","H","0.056"
"10","Alabama","A","N/A"
"11","Alabama","N","N/A"
"12","Alabama","O","0.02"
"13","Alaska","W","0.594"
"14","Alaska","B","0.028"
"15","Alaska","H","0.067"
"16","Alaska","A","0.047"
"17","Alaska","N","0.175"
"18","Alaska","O","0.255"
"19","Arizona","W","0.523"
"20","Arizona","B","0.051"
"21","Arizona","H","0.357"
"22","Arizona","A","0.034"
"23","Arizona","N","N/A"
"24","Arizona","O","0.013"
"25","Arkansas","W","0.69"
"26","Arkansas","B","0.155"
"27","Arkansas","H","0.085"
"28","Arkansas","A","0.026"
"29","Arkansas","N","N/A"
"30","Arkansas","O","0.023"
"31","California","W","0.356"
"32","California","B","0.054"
"33","California","H","0.407"
"34","California","A","0.152"
"35","California","N","0.004"
"36","California","O","0.025"
"37","Colorado","W","0.689"
"38","Colorado","B","0.042"
"39","Colorado","H","0.205"
"40","Colorado","A","0.034"
"41","Colorado","N","N/A"
"42","Colorado","O","0.017"
"43","Connecticut","W","0.612"
"44","Connecticut","B","0.117"
"45","Connecticut","H","0.187"
"46","Connecticut","A","0.069"
"47","Connecticut","N","N/A"
"48","Connecticut","O","N/A"
"49","Delaware","W","0.593"
"50","Delaware","B","0.214"
"51","Delaware","H","0.121"
"52","Delaware","A","0.035"
"53","Delaware","N","N/A"
"54","Delaware","O","0.035"
"55","District of Columbia","W","0.39"
"56","District of Columbia","B","0.453"
"57","District of Columbia","H","0.086"
"58","District of Columbia","A","0.036"
"59","District of Columbia","N","N/A"
"60","District of Columbia","O","0.032"
"61","Florida","W","0.513"
"62","Florida","B","0.155"
"63","Florida","H","0.285"
"64","Florida","A","0.033"
"65","Florida","N","N/A"
"66","Florida","O","0.013"
"67","Georgia","W","0.498"
"68","Georgia","B","0.32"
"69","Georgia","H","0.122"
"70","Georgia","A","0.045"
"71","Georgia","N","N/A"
"72","Georgia","O","0.013"
"73","Hawaii","W","0.16"
"74","Hawaii","B","0.014"
"75","Hawaii","H","0.102"
"76","Hawaii","A","0.389"
"77","Hawaii","N","N/A"
"78","Hawaii","O","0.178"
"79","Idaho","W","0.805"
"80","Idaho","B","0.008"
"81","Idaho","H","0.142"
"82","Idaho","A","0.017"
"83","Idaho","N","N/A"
"84","Idaho","O","0.018"
"85","Illinois","W","0.615"
"86","Illinois","B","0.135"
"87","Illinois","H","0.173"
"88","Illinois","A","0.06"
"89","Illinois","N","N/A"
"90","Illinois","O","0.016"
"91","Indiana","W","0.777"
"92","Indiana","B","0.098"
"93","Indiana","H","0.072"
"94","Indiana","A","0.026"
"95","Indiana","N","N/A"
"96","Indiana","O","0.022"
"97","Iowa","W","0.858"
"98","Iowa","B","0.041"
"99","Iowa","H","0.059"
"100","Iowa","A","N/A"
"101","Iowa","N","N/A"
"102","Iowa","O","0.017"
"103","Kansas","W","0.721"
"104","Kansas","B","0.059"
"105","Kansas","H","0.123"
"106","Kansas","A","0.036"
