"","year","state","race","TotalVictimsInStateByRace","Value","x"
"1",2016,"AK","N",4,116100,3.44530577088717
"2",2016,"AK","W",3,425400,0.705218617771509
"3",2016,"AL","B",6,1296800,0.462677359654534
"4",2016,"AL","W",16,3206700,0.498955312314841
"5",2016,"AR","B",2,456600,0.438020148926851
"6",2016,"AR","W",10,2132700,0.46888920148169
"7",2016,"AZ","B",2,304700,0.656383327863472
"8",2016,"AZ","H",17,2365600,0.718633750422726
"9",2016,"AZ","N",6,143600,4.17827298050139
"10",2016,"AZ","W",20,3716900,0.538082810944604
"11",2016,"CA","A",5,5767000,0.0867001907404196
"12",2016,"CA","B",22,2112900,1.04122296369918
"13",2016,"CA","H",58,15095000,0.384233189797946
"14",2016,"CA","W",43,14845000,0.289659818120579
"15",2016,"CO","B",2,209100,0.956480153036824
"16",2016,"CO","H",8,1029200,0.777302759424796
"17",2016,"CO","W",17,3860700,0.440334654337296
"18",2016,"CT","H",1,575500,0.173761946133797
"19",2016,"CT","W",2,2411400,0.0829393713195654
"20",2016,"DC","B",5,315100,1.58679784195493
"21",2016,"DE","W",1,586600,0.170473917490624
"22",2016,"FL","A",1,553100,0.180799132164166
"23",2016,"FL","B",16,3077200,0.519953204211621
"24",2016,"FL","H",8,5317500,0.150446638457922
"25",2016,"FL","O",1,172600,0.579374275782155
"26",2016,"FL","W",30,11306000,0.265345834070405
"27",2016,"GA","A",1,448300,0.22306491188936
"28",2016,"GA","B",11,3243200,0.339171188949186
"29",2016,"GA","H",5,1001500,0.499251123315027
"30",2016,"GA","W",10,5356000,0.186706497386109
"31",2016,"HI","A",1,535100,0.186880956830499
"32",2016,"HI","O",5,428600,1.16658889407373
"33",2016,"IA","B",3,101800,2.94695481335953
"34",2016,"IA","W",2,2658800,0.0752219046186249
"35",2016,"ID","H",2,221100,0.904568068747173
"36",2016,"ID","W",4,1378400,0.290191526407429
"37",2016,"IL","B",15,1790100,0.837942014412603
"38",2016,"IL","H",2,2166800,0.0923020121838656
"39",2016,"IL","W",9,7724700,0.11650937900501
"40",2016,"IN","B",4,599400,0.667334000667334
"41",2016,"IN","H",1,371900,0.268889486421081
"42",2016,"IN","W",8,5274200,0.151681771643093
"43",2016,"KS","B",1,169100,0.591366055588409
"44",2016,"KS","W",9,2110000,0.42654028436019
"45",2016,"KY","B",2,343900,0.581564408258215
"46",2016,"KY","H",1,219500,0.455580865603645
"47",2016,"KY","W",15,3675800,0.408074432776538
"48",2016,"LA","B",11,1471400,0.74758733179285
"49",2016,"LA","W",7,2679200,0.261272021498955
"50",2016,"MA","B",5,465000,1.0752688172043
"51",2016,"MA","H",3,837500,0.358208955223881
"52",2016,"MA","W",4,4858600,0.0823282427036595
"53",2016,"MD","B",10,1701800,0.587613115524738
"54",2016,"MD","W",5,3138300,0.15932192588344
"55",2016,"ME","O",1,40100,2.49376558603491
"56",2016,"ME","W",1,1210000,0.0826446280991736
"57",2016,"MI","B",5,1345800,0.37152622975182
"58",2016,"MI","H",1,517500,0.193236714975845
"59",2016,"MI","W",6,7428000,0.0807754442649435
"60",2016,"MN","A",1,202400,0.494071146245059
"61",2016,"MN","B",2,350100,0.571265352756355
"62",2016,"MN","H",1,346100,0.288933834151979
"63",2016,"MN","O",1,119100,0.839630562552477
"64",2016,"MN","W",9,4337100,0.207511931936086
"65",2016,"MO","B",7,648100,1.08008023453171
"66",2016,"MO","H",1,244900,0.408329930583912
"67",2016,"MO","W",11,4653100,0.236401538759107
"68",2016,"MS","B",4,1090500,0.36680421824851
"69",2016,"MS","W",4,1697000,0.235710076605775
"70",2016,"MT","W",5,920400,0.543242068665797
"71",2016,"NC","A",1,275900,0.362450163102573
"72",2016,"NC","B",12,2138300,0.561193471449282
"73",2016,"NC","H",1,1053300,0.0949397132820659
"74",2016,"NC","W",17,6188800,0.274689762150982
"75",2016,"ND","W",1,633400,0.157878118092832
"76",2016,"NE","B",2,73300,2.72851296043656
"77",2016,"NE","W",5,1463500,0.341646737273659
"78",2016,"NH","W",2,1210700,0.165193689601057
"79",2016,"NJ","A",1,942700,0.106078285774902
"80",2016,"NJ","B",7,1138100,0.615060188032686
"81",2016,"NJ","W",3,5139000,0.0583771161704612
"82",2016,"NM","H",13,927100,1.40222198252616
"83",2016,"NM","N",1,NA,NA
"84",2016,"NM","W",6,752200,0.797660196756182
"85",2016,"NV","B",2,251500,0.795228628230616
"86",2016,"NV","H",7,781500,0.895713371721049
"87",2016,"NV","W",3,1537400,0.195134642903603
"88",2016,"NY","B",9,2733500,0.32924821657216
"89",2016,"NY","H",1,3537700,0.0282669531051248
"90",2016,"NY","W",7,10984600,0.0637255794475903
"91",2016,"OH","A",2,233300,0.85726532361766
"92",2016,"OH","B",11,1371600,0.801983085447652
"93",2016,"OH","O",1,321300,0.311235605353252
"94",2016,"OH","W",12,8985300,0.133551467396748
"95",2016,"OK","B",4,285300,1.40203294777427
"96",2016,"OK","H",3,458100,0.654878847413229
"97",2016,"OK","W",15,2502600,0.599376648285783
"98",2016,"OR","B",1,81200,1.23152709359606
"99",2016,"OR","W",13,3077000,0.422489437764056
"100",2016,"PA","B",10,1350900,0.740247242579021
"101",2016,"PA","W",9,9559800,0.0941442289587648
"102",2016,"RI","B",1,61100,1.6366612111293
"103",2016,"RI","H",1,170100,0.587889476778366
"104",2016,"SC","B",4,1279000,0.312744331508991
"105",2016,"SC","W",13,3184800,0.408188897261994
"106",2016,"SD","N",1,NA,NA
"107",2016,"SD","W",3,697400,0.430169199885288
"108",2016,"TN","A",1,140700,0.710732054015636
"109",2016,"TN","B",3,1108700,0.270587174167944
"110",2016,"TN","H",1,391200,0.255623721881391
"111",2016,"TN","W",16,4860900,0.329157151967743
"112",2016,"TX","B",17,3332000,0.510204081632653
"113",2016,"TX","H",20,10552200,0.18953393605125
"114",2016,"TX","N",1,88000,1.13636363636364
"115",2016,"TX","O",2,365800,0.546746856205577
"116",2016,"TX","W",36,11926100,0.301858948021566
"117",2016,"UT","W",8,2442000,0.327600327600328
"118",2016,"VA","B",8,1499400,0.533546752034147
"119",2016,"VA","H",1,882400,0.113327289211242
"120",2016,"VA","W",8,4985900,0.16045247598227
"121",2016,"VT","N",1,NA,NA
"122",2016,"VT","W",1,583700,0.171320884015762
"123",2016,"WA","A",1,732300,0.136556056261095
"124",2016,"WA","B",4,253100,1.58040300276571
"125",2016,"WA","H",3,1012000,0.296442687747036
"126",2016,"WA","N",3,NA,NA
"127",2016,"WA","W",13,4793400,0.271206241915968
"128",2016,"WI","B",5,317400,1.5752993068683
"129",2016,"WI","W",12,4610600,0.260269813039518
"130",2016,"WV","B",1,62100,1.61030595813204
"131",2016,"WV","W",10,1681700,0.594636379853719
"132",2016,"WY","H",1,54700,1.82815356489945
"133",2016,"WY","W",1,488000,0.204918032786885
"134",2018,"AK","A",1,55600,1.79856115107914
"135",2018,"AK","B",1,23500,4.25531914893617
"136",2018,"AK","N",2,118000,1.69491525423729
"137",2018,"AK","W",3,417000,0.719424460431655
"138",2018,"AL","B",3,1267000,0.236779794790845
"139",2018,"AL","W",9,3134400,0.287136294027565
"140",2018,"AR","B",7,429800,1.62866449511401
"141",2018,"AR","W",13,2133600,0.609298837645294
"142",2018,"AZ","B",4,318400,1.25628140703518
"143",2018,"AZ","H",17,2472800,0.68747978000647
"144",2018,"AZ","N",2,199700,1.00150225338007
"145",2018,"AZ","W",25,3787200,0.660118293198141
"146",2018,"CA","A",4,5815200,0.0687852524418765
"147",2018,"CA","B",19,2133900,0.890388490557196
"148",2018,"CA","H",50,15053700,0.332144256893654
"149",2018,"CA","W",29,14855800,0.195209951668708
"150",2018,"CO","A",2,226400,0.88339222614841
"151",2018,"CO","B",1,177000,0.564971751412429
"152",2018,"CO","H",9,1239600,0.726040658276863
"153",2018,"CO","N",1,NA,NA
"154",2018,"CO","W",24,3913200,0.613308800981294
"155",2018,"CT","W",1,2210400,0.0452406804198335
"156",2018,"DC","B",1,305300,0.327546675401245
"157",2018,"FL","B",20,3193500,0.626272115234069
"158",2018,"FL","H",8,5768200,0.138691446205055
"159",2018,"FL","W",35,11187500,0.312849162011173
"160",2018,"GA","B",22,3284000,0.669914738124239
"161",2018,"GA","H",1,1234900,0.0809782168596647
"162",2018,"GA","W",15,5129000,0.292454669526223
"163",2018,"HI","A",5,542400,0.921828908554572
"164",2018,"HI","H",1,126000,0.793650793650794
"165",2018,"HI","O",4,427700,0.935234977788169
"166",2018,"HI","W",1,271900,0.367782272894446
"167",2018,"IA","B",1,117200,0.853242320819113
"168",2018,"IA","W",8,2641700,0.302835295453685
"169",2018,"ID","B",1,13800,7.2463768115942
"170",2018,"ID","N",1,NA,NA
"171",2018,"ID","W",10,1413600,0.707413695529145
"172",2018,"IL","B",11,1726700,0.637053338738634
"173",2018,"IL","H",2,2345400,0.085273300929479
"174",2018,"IL","W",7,7527000,0.0929985385943935
"175",2018,"IN","B",5,621000,0.805152979066022
"176",2018,"IN","H",1,630600,0.158579130986362
"177",2018,"IN","W",12,5012000,0.239425379090184
"178",2018,"KS","B",3,158200,1.89633375474083
"179",2018,"KS","H",2,340100,0.588062334607468
"180",2018,"KS","W",2,2139100,0.0934972652049928
