"","X","state","race","TotalVictimsInStateByRace","TotalVictimsInState","StateFullName","Population","VictimsPer100000","raceFullName"
"1",1,"AK","W",3,7,"Alaska",422800,0.71,"White"
"2",2,"AL","B",6,24,"Alabama",1306000,0.46,"Black"
"3",3,"AR","A",1,13,"Arkansas",78600,1.27,"Asian"
"4",4,"AZ","B",2,37,"Arizona",373000,0.54,"Black"
"5",5,"CA","B",15,141,"California",2082800,0.72,"Black"
"6",6,"CO","B",1,41,"Colorado",239200,0.42,"Black"
"7",7,"CT","B",1,2,"Connecticut",416300,0.24,"Black"
"8",8,"DC","B",3,7,"District of Columbia",294500,1.02,"Black"
"9",9,"DE","B",1,2,"Delaware",212900,0.47,"Black"
"10",10,"FL","B",15,50,"Florida",3351700,0.45,"Black"
"11",11,"GA","B",14,51,"Georgia",3409600,0.41,"Black"
"12",12,"HI","B",1,6,"Hawaii",20600,4.85,"Black"
"13",13,"IA","B",1,9,"Iowa",131000,0.76,"Black"
"14",14,"ID","W",7,13,"Idaho",1532800,0.46,"White"
"15",15,"IL","B",10,28,"Illinois",1683100,0.59,"Black"
"16",16,"IN","B",3,22,"Indiana",664900,0.45,"Black"
"17",17,"KS","B",2,11,"Kansas",168800,1.18,"Black"
"18",18,"KY","B",3,23,"Kentucky",354100,0.85,"Black"
"19",19,"LA","B",5,22,"Louisiana",1447800,0.35,"Black"
"20",20,"MA","W",3,11,"Massachusetts",4772500,0.06,"White"
"21",21,"MD","B",10,16,"Maryland",1866800,0.54,"Black"
"22",22,"ME","W",2,6,"Maine",1269100,0.16,"White"
"23",23,"MI","B",5,24,"Michigan",1275200,0.39,"Black"
"24",24,"MN","B",3,13,"Minnesota",407400,0.74,"Black"
"25",25,"MO","B",2,32,"Missouri",658400,0.3,"Black"
"26",26,"MS","B",9,22,"Mississippi",1106400,0.81,"Black"
"27",27,"MT","W",1,7,"Montana",975800,0.1,"White"
"28",28,"NC","A",1,27,"North Carolina",371100,0.27,"Asian"
"29",29,"ND","N",1,3,"North Dakota",32600,3.07,"Native American"
"30",30,"NE","W",7,10,"Nebraska",1512000,0.46,"White"
"31",31,"NH","W",1,2,"New Hampshire",1247300,0.08,"White"
"32",32,"NJ","B",4,11,"New Jersey",1227900,0.33,"Black"
"33",33,"NM","H",11,27,"New Mexico",917800,1.2,"Hispanic"
"34",34,"NV","W",2,11,"Nevada",1424800,0.14,"White"
"35",35,"NY","B",2,20,"New York",2607300,0.08,"Black"
"36",36,"OH","B",10,26,"Ohio",1340200,0.75,"Black"
"37",37,"OK","B",2,18,"Oklahoma",290700,0.69,"Black"
"38",38,"OR","B",1,17,"Oregon",91200,1.1,"Black"
"39",39,"PA","B",2,25,"Pennsylvania",1447900,0.14,"Black"
"40",40,"SC","W",8,16,"South Carolina",3277800,0.24,"White"
"41",41,"SD","N",2,3,"South Dakota",49200,4.07,"Native American"
"42",42,"TN","B",11,34,"Tennessee",1100600,1,"Black"
"43",43,"TX","B",14,95,"Texas",3633200,0.39,"Black"
"44",44,"UT","B",1,12,"Utah",46400,2.16,"Black"
"45",45,"VA","B",6,21,"Virginia",1599700,0.38,"Black"
"46",46,"WA","B",2,13,"Washington",306200,0.65,"Black"
"47",47,"WI","B",2,11,"Wisconsin",286400,0.7,"Black"
"48",48,"WV","W",2,6,"West Virginia",1597400,0.13,"White"
