State,Race,Value
United States,W,0.592
United States,B,0.124
United States,H,0.191
United States,A,0.061
United States,N,0.008
United States,O,0.029
Alabama,W,0.649
Alabama,B,0.263
Alabama,H,0.056
Alabama,A,N/A
Alabama,N,N/A
Alabama,O,0.02
Alaska,W,0.594
Alaska,B,0.028
Alaska,H,0.067
Alaska,A,0.047
Alaska,N,0.175
Alaska,O,0.255
Arizona,W,0.523
Arizona,B,0.051
Arizona,H,0.357
Arizona,A,0.034
Arizona,N,N/A
Arizona,O,0.013
Arkansas,W,0.69
Arkansas,B,0.155
Arkansas,H,0.085
Arkansas,A,0.026
Arkansas,N,N/A
Arkansas,O,0.023
California,W,0.356
California,B,0.054
California,H,0.407
California,A,0.152
California,N,0.004
California,O,0.025
Colorado,W,0.689
Colorado,B,0.042
Colorado,H,0.205
Colorado,A,0.034
Colorado,N,N/A
Colorado,O,0.017
Connecticut,W,0.612
Connecticut,B,0.117
Connecticut,H,0.187
Connecticut,A,0.069
Connecticut,N,N/A
Connecticut,O,N/A
Delaware,W,0.593
Delaware,B,0.214
Delaware,H,0.121
Delaware,A,0.035
Delaware,N,N/A
Delaware,O,0.035
District of Columbia,W,0.39
District of Columbia,B,0.453
District of Columbia,H,0.086
District of Columbia,A,0.036
District of Columbia,N,N/A
District of Columbia,O,0.032
Florida,W,0.513
Florida,B,0.155
Florida,H,0.285
Florida,A,0.033
Florida,N,N/A
Florida,O,0.013
Georgia,W,0.498
Georgia,B,0.32
Georgia,H,0.122
Georgia,A,0.045
Georgia,N,N/A
Georgia,O,0.013
Hawaii,W,0.16
Hawaii,B,0.014
Hawaii,H,0.102
Hawaii,A,0.389
Hawaii,N,N/A
Hawaii,O,0.178
Idaho,W,0.805
Idaho,B,0.008
Idaho,H,0.142
Idaho,A,0.017
Idaho,N,N/A
Idaho,O,0.018
Illinois,W,0.615
Illinois,B,0.135
Illinois,H,0.173
Illinois,A,0.06
Illinois,N,N/A
Illinois,O,0.016
Indiana,W,0.777
Indiana,B,0.098
Indiana,H,0.072
Indiana,A,0.026
Indiana,N,N/A
Indiana,O,0.022
Iowa,W,0.858
Iowa,B,0.041
Iowa,H,0.059
Iowa,A,N/A
Iowa,N,N/A
Iowa,O,0.017
Kansas,W,0.721
Kansas,B,0.059
Kansas,H,0.123
Kansas,A,0.036
Kansas,N,N/A
Kansas,O,0.044
Kentucky,W,0.811
Kentucky,B,0.079
Kentucky,H,0.067
Kentucky,A,N/A
Kentucky,N,N/A
Kentucky,O,0.018
Louisiana,W,0.576
Louisiana,B,0.321
Louisiana,H,0.054
Louisiana,A,0.025
Louisiana,N,N/A
Louisiana,O,0.02
Maine,W,0.937
Maine,B,0.016
Maine,H,N/A
Maine,A,N/A
