"","state","race","TotalVictimsInStateByRace","TotalVictimsInState","StateFullName","Population","VictimsPer100000"
"1","AK","W",3,7,"Alaska",422800,0.709555345316935
"2","AL","B",6,24,"Alabama",1306000,0.459418070444104
"3","AR","A",1,13,"Arkansas",78600,1.27226463104326
"4","AZ","B",2,37,"Arizona",373000,0.536193029490617
"5","CA","B",15,141,"California",2082800,0.720184367198003
"6","CO","B",1,41,"Colorado",239200,0.418060200668896
"7","CT","B",1,2,"Connecticut",416300,0.240211386019697
"8","DC","B",3,7,"District of Columbia",294500,1.01867572156197
"9","DE","B",1,2,"Delaware",212900,0.469704086425552
"10","FL","B",15,50,"Florida",3351700,0.44753408717964
"11","GA","B",14,51,"Georgia",3409600,0.410605349601126
"12","HI","B",1,6,"Hawaii",20600,4.85436893203884
"13","IA","B",1,9,"Iowa",131000,0.763358778625954
"14","ID","W",7,13,"Idaho",1532800,0.456680584551148
"15","IL","B",10,28,"Illinois",1683100,0.594141762224467
"16","IN","B",3,22,"Indiana",664900,0.451195668521582
"17","KS","B",2,11,"Kansas",168800,1.18483412322275
"18","KY","B",3,23,"Kentucky",354100,0.847218299915278
"19","LA","B",5,22,"Louisiana",1447800,0.345351567896118
"20","MA","W",3,11,"Massachusetts",4772500,0.0628601361969618
"21","MD","B",10,16,"Maryland",1866800,0.535676023141204
"22","ME","W",2,6,"Maine",1269100,0.157591994326688
"23","MI","B",5,24,"Michigan",1275200,0.392095357590966
"24","MN","B",3,13,"Minnesota",407400,0.736377025036819
"25","MO","B",2,32,"Missouri",658400,0.303766707168894
"26","MS","B",9,22,"Mississippi",1106400,0.813449023861171
"27","MT","W",1,7,"Montana",975800,0.102480016396803
"28","NC","A",1,27,"North Carolina",371100,0.269469145782808
"29","ND","N",1,3,"North Dakota",32600,3.06748466257669
"30","NE","W",7,10,"Nebraska",1512000,0.462962962962963
"31","NH","W",1,2,"New Hampshire",1247300,0.0801731740559609
"32","NJ","B",4,11,"New Jersey",1227900,0.325759426663409
"33","NM","H",11,27,"New Mexico",917800,1.19851819568533
"34","NV","W",2,11,"Nevada",1424800,0.140370578326783
"35","NY","B",2,20,"New York",2607300,0.0767077052889963
"36","OH","B",10,26,"Ohio",1340200,0.746157289956723
"37","OK","B",2,18,"Oklahoma",290700,0.687994496044032
"38","OR","B",1,17,"Oregon",91200,1.09649122807018
"39","PA","B",2,25,"Pennsylvania",1447900,0.138131086400995
"40","SC","W",8,16,"South Carolina",3277800,0.244066141924462
"41","SD","N",2,3,"South Dakota",49200,4.0650406504065
"42","TN","B",11,34,"Tennessee",1100600,0.999454842813011
"43","TX","B",14,95,"Texas",3633200,0.385335241660244
"44","UT","B",1,12,"Utah",46400,2.1551724137931
"45","VA","B",6,21,"Virginia",1599700,0.375070325686066
"46","WA","B",2,13,"Washington",306200,0.653167864141084
"47","WI","B",2,11,"Wisconsin",286400,0.698324022346369
"48","WV","W",2,6,"West Virginia",1597400,0.125203455615375
