,year,state,race,TotalVictimsInStateByRace,Population,VictimsPer100000
1,2016,AK,N,4,116100,3.445305771
2,2016,AL,W,16,3206700,0.498955312
3,2016,AR,W,10,2132700,0.468889201
4,2016,AZ,N,6,143600,4.178272981
5,2016,CA,B,22,2112900,1.041222964
6,2016,CO,B,2,209100,0.956480153
7,2016,CT,H,1,575500,0.173761946
8,2016,DC,B,5,315100,1.586797842
9,2016,DE,W,1,586600,0.170473917
10,2016,FL,O,1,172600,0.579374276
11,2016,GA,H,5,1001500,0.499251123
12,2016,HI,O,5,428600,1.166588894
13,2016,IA,B,3,101800,2.946954813
14,2016,ID,H,2,221100,0.904568069
15,2016,IL,B,15,1790100,0.837942014
16,2016,IN,B,4,599400,0.667334001
17,2016,KS,B,1,169100,0.591366056
18,2016,KY,B,2,343900,0.581564408
19,2016,LA,B,11,1471400,0.747587332
20,2016,MA,B,5,465000,1.075268817
21,2016,MD,B,10,1701800,0.587613116
22,2016,ME,O,1,40100,2.493765586
23,2016,MI,B,5,1345800,0.37152623
24,2016,MN,O,1,119100,0.839630563
25,2016,MO,B,7,648100,1.080080235
26,2016,MS,B,4,1090500,0.366804218
27,2016,MT,W,5,920400,0.543242069
28,2016,NC,B,12,2138300,0.561193471
29,2016,ND,W,1,633400,0.157878118
30,2016,NE,B,2,73300,2.72851296
31,2016,NH,W,2,1210700,0.16519369
32,2016,NJ,B,7,1138100,0.615060188
33,2016,NM,H,13,927100,1.402221983
34,2016,NV,H,7,781500,0.895713372
35,2016,NY,B,9,2733500,0.329248217
36,2016,OH,A,2,233300,0.857265324
37,2016,OK,B,4,285300,1.402032948
38,2016,OR,B,1,81200,1.231527094
39,2016,PA,B,10,1350900,0.740247243
40,2016,RI,B,1,61100,1.636661211
41,2016,SC,W,13,3184800,0.408188897
42,2016,SD,W,3,697400,0.4301692
43,2016,TN,A,1,140700,0.710732054
44,2016,TX,N,1,88000,1.136363636
45,2016,UT,W,8,2442000,0.327600328
46,2016,VA,B,8,1499400,0.533546752
47,2016,VT,W,1,583700,0.171320884
48,2016,WA,B,4,253100,1.580403003
49,2016,WI,B,5,317400,1.575299307
50,2016,WV,B,1,62100,1.610305958
51,2016,WY,H,1,54700,1.828153565
52,2018,AK,B,1,23500,4.255319149
53,2018,AL,W,9,3134400,0.287136294
54,2018,AR,B,7,429800,1.628664495
55,2018,AZ,B,4,318400,1.256281407
56,2018,CA,B,19,2133900,0.890388491
57,2018,CO,A,2,226400,0.883392226
58,2018,CT,W,1,2210400,0.04524068
59,2018,DC,B,1,305300,0.327546675
60,2018,FL,B,20,3193500,0.626272115
61,2018,GA,B,22,3284000,0.669914738
62,2018,HI,O,4,427700,0.935234978
63,2018,IA,B,1,117200,0.853242321
64,2018,ID,B,1,13800,7.246376812
65,2018,IL,B,11,1726700,0.637053339
66,2018,IN,B,5,621000,0.805152979
67,2018,KS,B,3,158200,1.896333755
68,2018,KY,B,2,354600,0.564015792
69,2018,LA,W,10,2599300,0.384718963
70,2018,MA,W,3,4918600,0.060992965
71,2018,MD,B,8,1633200,0.489835905
72,2018,ME,W,2,1200900,0.16654176
73,2018,MI,B,5,1371500,0.364564346
74,2018,MN,B,2,379400,0.527148129
75,2018,MO,B,7,684500,1.022644266
76,2018,MS,B,5,1094800,0.456704421
77,2018,MT,N,1,49100,2.036659878
78,2018,NC,B,7,2232100,0.313606021
79,2018,ND,W,4,627200,0.637755102
80,2018,NE,B,1,86500,1.156069364
81,2018,NH,W,2,1221100,0.16378675
82,2018,NJ,B,6,1164000,0.515463918
83,2018,NM,B,1,34600,2.89017341
84,2018,NV,B,3,271900,1.103346819
85,2018,NY,B,6,2521700,0.237934727
86,2018,OH,B,8,1407500,0.568383659
87,2018,OK,B,5,279800,1.786990708
88,2018,OR,B,2,87800,2.277904328
89,2018,PA,B,9,1398000,0.643776824
90,2018,RI,B,1,48000,2.083333333
91,2018,SC,A,1,83600,1.196172249
92,2018,SD,W,2,700100,0.285673475
93,2018,TN,B,9,1104900,0.814553353
94,2018,TX,B,15,3435800,0.436579545
95,2018,UT,B,3,33300,9.009009009
96,2018,VA,B,12,1649500,0.72749318
97,2018,VT,W,2,573200,0.348918353
98,2018,WA,H,4,1043000,0.383509108
99,2018,WI,B,3,354000,0.847457627
100,2018,WV,B,2,56000,3.571428571
101,2018,WY,H,1,51600,1.937984496
102,2020,AK,A,1,45200,2.212389381
103,2020,AL,H,1,189200,0.528541226
104,2020,AR,B,4,440200,0.908677874
105,2020,AZ,B,5,373300,1.339405304
106,2020,CA,B,24,2125500,1.129146083
107,2020,CO,B,4,249300,1.604492579
108,2020,CT,B,2,387300,0.516395559
109,2020,DC,B,1,311300,0.321233537
110,2020,DE,H,1,95500,1.047120419
111,2020,FL,B,30,3319800,0.903668896
112,2020,GA,B,23,3287400,0.699641054
113,2020,HI,A,2,516300,0.387371683
114,2020,IA,B,1,130500,0.766283525
115,2020,ID,A,1,25200,3.968253968
116,2020,IL,B,7,1748100,0.400434758
117,2020,IN,B,7,655700,1.067561385
118,2020,KS,H,2,336100,0.595060994
119,2020,KY,B,2,370000,0.540540541
120,2020,LA,B,11,1463700,0.75152012
121,2020,MA,H,1,848900,0.117799505
122,2020,MD,B,7,1837600,0.38093165
123,2020,ME,W,4,1271800,0.314514861
124,2020,MI,B,6,1355200,0.442739079
125,2020,MN,B,1,376200,0.265816055
126,2020,MO,B,9,693500,1.29776496
127,2020,MS,W,6,1686900,0.35568202
128,2020,MT,W,8,975100,0.820428674
129,2020,NC,W,22,6181900,0.355877643
130,2020,ND,N,2,48700,4.106776181
131,2020,NE,B,1,87100,1.148105626
132,2020,NH,W,4,1215300,0.329136839
133,2020,NJ,B,5,1174700,0.425640589
134,2020,NM,B,1,40500,2.469135802
135,2020,NV,B,5,287100,1.741553466
136,2020,NY,B,9,2575600,0.349433142
137,2020,OH,B,11,1446400,0.76050885
138,2020,OK,B,4,268300,1.490868431
139,2020,OR,H,2,460000,0.434782609
140,2020,PA,B,6,1359200,0.441436139
141,2020,SC,B,5,1315200,0.380170316
142,2020,TN,W,19,4931600,0.3852705
143,2020,TX,B,20,3514400,0.569087184
144,2020,UT,B,1,32600,3.067484663
145,2020,VA,O,1,191500,0.522193211
146,2020,WA,B,4,310100,1.289906482
147,2020,WI,B,5,293500,1.703577513
148,2020,WV,W,4,1577300,0.25359792
149,2020,WY,W,1,459800,0.217485863
150,2021,AK,W,3,422800,0.709555345
151,2021,AL,B,6,1306000,0.45941807
152,2021,AR,A,1,78600,1.272264631
153,2021,AZ,B,2,373000,0.536193029
154,2021,CA,B,15,2082800,0.720184367
155,2021,CO,B,1,239200,0.418060201
156,2021,CT,B,1,416300,0.240211386
157,2021,DC,B,3,294500,1.018675722
158,2021,DE,B,1,212900,0.469704086
159,2021,FL,B,15,3351700,0.447534087
160,2021,GA,B,14,3409600,0.41060535
161,2021,HI,B,1,20600,4.854368932
162,2021,IA,B,1,131000,0.763358779
163,2021,ID,W,7,1532800,0.456680585
164,2021,IL,B,10,1683100,0.594141762
165,2021,IN,B,3,664900,0.451195669
166,2021,KS,B,2,168800,1.184834123
167,2021,KY,B,3,354100,0.8472183
168,2021,LA,B,5,1447800,0.345351568
169,2021,MA,W,3,4772500,0.062860136
170,2021,MD,B,10,1866800,0.535676023
171,2021,ME,W,2,1269100,0.157591994
172,2021,MI,B,5,1275200,0.392095358
173,2021,MN,B,3,407400,0.736377025
174,2021,MO,B,2,658400,0.303766707
175,2021,MS,B,9,1106400,0.813449024
176,2021,MT,W,1,975800,0.102480016
177,2021,NC,A,1,371100,0.269469146
178,2021,ND,N,1,32600,3.067484663
179,2021,NE,W,7,1512000,0.462962963
180,2021,NH,W,1,1247300,0.080173174
181,2021,NJ,B,4,1227900,0.325759427
182,2021,NM,H,11,917800,1.198518196
183,2021,NV,W,2,1424800,0.140370578
184,2021,NY,B,2,2607300,0.076707705
185,2021,OH,B,10,1340200,0.74615729
186,2021,OK,B,2,290700,0.687994496
187,2021,OR,B,1,91200,1.096491228
188,2021,PA,B,2,1447900,0.138131086
189,2021,SC,W,8,3277800,0.244066142
190,2021,SD,N,2,49200,4.06504065
191,2021,TN,B,11,1100600,0.999454843
192,2021,TX,B,14,3633200,0.385335242
193,2021,UT,B,1,46400,2.155172414
